universidad;candidateId
Universidad Privada Del Norte;630665b8594e18004af0540e
Certus;630665b8594e18004af05418
Universidad Peruana De Ciencias Aplicadas - Upc;630665b8594e18004af05421
Instituto Superior Tecnológico Público Cap.  Fap. José Abelardo Quiñones;630665b8594e18004af05427
Idat;630665b8594e18004af05431
Universidad Peruana De Ciencias Aplicadas;630665b8594e18004af05449
Zegel Ipae;630665b8594e18004af05451
Fey Y Alegría N° 68;630665b8594e18004af05451
Ifb Certus;630665b8594e18004af0545a
Universidad Cesar Vallejo - Ucv;630665b8594e18004af05463
Universidad De Huanuco;630665b8594e18004af0546b
Universidad Católica Sede Sapientiae;630665b8594e18004af05474
Sise;630665b8594e18004af0547b
Instituto Peruano De Negocios;630665b8594e18004af0547b
Itforc;630665b8594e18004af0547b
Universidad Nacional Enrique Guzmán Y Valle;630665b8594e18004af05488
Universidad Tecnologica Del Peru;630665b8594e18004af05490
Universidad Cesar Vallejo;630665b8594e18004af05497
Instituto Continental;630665b8594e18004af054a1
Ceprebanco;630665b8594e18004af054a9
Universidad César Vallejo;630665b8594e18004af054a9
Universidad Nacional De La Amazonia Peruana;630665b8594e18004af054b2
Icpna;630665b8594e18004af054b2
Universidad Privada Del Norte;630665b8594e18004af054c0
Universidad Privada Del Norte;630665b8594e18004af054c7
Universidad Nacional Federico Villareal;630665b8594e18004af054ce
Certus;630665b8594e18004af054d5
Certus;630665b8594e18004af054d5
I.e.p American Whitman;630665b8594e18004af054d5
Instituto  Metropolitano;630665b8594e18004af054de
Universidad Andina Del Cusco;630665b8594e18004af054e7
Isam;630665b8594e18004af054f0
Universidad Tecnológica Del Perú - Utp;630665b8594e18004af054f9
Universidad Tecnológica De La S Andes;630665b8594e18004af05501
Juan Bosco De Huanuco;630665b8594e18004af05508
Universidad Nacional Pedro Ruiz Gallo;630665b8594e18004af0550e
Universidad Cesar Vallejo;630665b8594e18004af05516
Idat;630665b8594e18004af0551e
instituto Superior Jhon A. Mackay;630665b8594e18004af05529
Certus;630665b8594e18004af05531
Ifb Certus;630665b8594e18004af05538
Ifb Certus;630665b8594e18004af05538
Juan Velasco Albarado;630665b8594e18004af05542
Certus;630665b8594e18004af05542
Fundación Pachacútec;630665b8594e18004af0554a
Universidad Continental;630665b8594e18004af05550
Universidad Tecnológica Del Perú;630665b8594e18004af05557
Universidad Cesar Vallejo;630665b8594e18004af0555e
Paul Muller;630665b8594e18004af0555e
Certus;630665b8594e18004af05568
Universidad Nacional Federico Villarreal;630665b8594e18004af0556f
Instituto San Ignacio De Loyola;630665b8594e18004af05576
Universidad Privada Del Norte;630665b8594e18004af0557c
Certus;630665b8594e18004af05594
Universidad Privada Del Norte;630665b8594e18004af055a1
Instituto De Educacion Superior Tecnologico Privado Amazonico;630665b8594e18004af055a9
Utp;630665b8594e18004af055b1
Universidad César Vallejo;630665b8594e18004af055b8
Upn;630665b8594e18004af055be
Universidad Privada Del Norte;630665b8594e18004af055c5
Universidad Ricardo Palma;630665b8594e18004af055cc
Universidad Nacional De La  Amazonia Peruana;630665b8594e18004af055d8
Universidad Nacional De La Amazonía Peruana;630665b8594e18004af055df
Isil;630665b8594e18004af055e6
Instituto Buen Pastor;630665b8594e18004af055f4
Ifb;630665b8594e18004af055f4
Universidad Catolica Sede Sapientea;630665b8594e18004af055f4
Universidad Privada Del Norte;630665b8594e18004af05600
Colegio Emblemático Santa Rosa;630665b8594e18004af05600
I S.t.p Maria Rosario Araoz Pinto;630665b8594e18004af0560b
Universidad César Vallejo;630665b8594e18004af05613
Universidad Maria Auxiliadora;630665b8594e18004af05619
Universidad Alas Peruanas;630665b8594e18004af0561f
Universidad De San Martin De Porres;630665b8594e18004af05626
Universidad Andina Del Cusco;630665b8594e18004af0562e
Universidad Privada Del Norte;630665b8594e18004af05634
Instituto Nacional Antunes De Mayolo;630665b8594e18004af0563a
Universidad Cesar Vallejo;630665b8594e18004af05643
Instituto Sise;630665b8594e18004af0564c
Universidad Peruana De Ciencias Aplicadas;630665b8594e18004af05653
Instituto De Formación Bancaria - Ifb;630665b8594e18004af0565c
Universidad Cesar Vallejo - Ucv;630665b8594e18004af05663
Upc;630665b8594e18004af0566b
Instituto De Formación Bancaria - Ifb;630665b8594e18004af05671
Isil;630665b8594e18004af0567a
Hans Cristian Andersen;630665b8594e18004af0567a
Icpna;630665b8594e18004af05684
Instituto Sise;630665b8594e18004af0568b
Universidad De San Martín De Porres;630665b8594e18004af05691
Zegel Ipae;630665b8594e18004af05698
Universidad Nacional De San Agustín - Unsa;630665b8594e18004af056a5
Daniel Alcides Carriòn;630665b8594e18004af056af
Universidad Autonoma Del Peru;630665b8594e18004af056af
Sise;630665b8594e18004af056ba
Icpna;630665b8594e18004af056c1
Pucp;630665b8594e18004af056c1
Nuestra Señora De Las Mercedes;630665b8594e18004af056c1
Virtualmente;630665b8594e18004af056d0
Universidad Privada Del Norte;630665b8594e18004af056d7
